 Element ID, Tensor(Element Stresses (2D & 3D)),
57691,-2.749E-02 1.878E-02 8.622E-03 1.424E-01 -4.565E-02 2.389E-02 ,
57690,3.158E-01 7.351E-02 5.070E-02 1.746E-01 -1.588E-02 -3.098E-03 ,
57689,-3.282E-01 1.097E-01 -9.031E-02 8.849E-02 1.207E-02 1.213E-02 ,
57688,-5.547E-01 2.428E-01 -7.759E-01 5.422E-01 -1.114E-01 -1.140E-01 ,
57687,3.511E-01 9.177E-01 -2.433E-02 -8.589E-02 9.066E-02 -9.909E-02 ,
57686,-7.815E-02 -3.543E-02 3.228E-02 -1.290E-01 -1.654E-03 8.151E-03 ,
57685,5.069E-01 3.324E-01 1.092E-01 3.128E-01 5.900E-02 1.057E-01 ,
57684,-4.568E-02 -1.599E+00 -5.614E-01 1.755E-01 -1.578E-01 -2.917E-02 ,
57683,1.669E-01 1.366E-01 1.366E-01 4.472E-01 1.334E-19 3.796E-02 ,
57682,3.879E-01 -9.469E-02 8.768E-02 -8.094E-01 6.775E-02 5.402E-03 ,
57681,2.912E-01 -3.941E-02 9.104E-02 -1.781E-01 2.277E-03 6.187E-03 ,
57680,4.115E-01 5.395E-01 1.631E-02 3.987E-01 6.908E-03 5.804E-02 ,
57679,-1.840E+00 -9.722E-01 -2.936E+00 7.759E-01 7.820E-02 2.174E-01 ,
57678,9.566E-02 -2.282E-01 8.037E-02 1.368E-01 3.648E-03 -9.724E-03 ,
57677,-1.691E-02 1.455E-01 3.142E-02 -1.003E-01 3.984E-02 2.637E-03 ,
57676,-2.824E-01 8.793E-01 6.427E-02 4.944E-01 5.654E-02 7.987E-02 ,
57675,8.919E-02 8.254E-02 -1.928E-02 4.801E-02 1.144E-02 3.334E-04 ,
57674,8.714E-03 1.099E-01 1.547E-02 -8.502E-02 -7.519E-03 1.487E-02 ,
57673,1.123E-02 -3.076E-01 9.493E-03 -1.379E-01 1.302E-02 5.703E-03 ,
57672,5.266E-02 1.945E-01 7.123E-02 -2.902E-02 1.972E-03 -8.113E-03 ,
57671,2.734E-01 -7.915E-03 2.589E-02 -1.194E-01 6.588E-03 1.346E-03 ,
57670,-1.483E+00 -4.095E-02 -1.467E-01 1.952E-02 6.071E-02 -9.074E-05 ,
57669,-7.578E-02 -5.129E-03 -5.632E-02 8.159E-02 -1.933E-02 5.155E-03 ,
57668,-2.838E-01 4.363E-01 1.087E-01 6.264E-02 -1.120E-02 -1.459E-02 ,
57667,-2.664E-01 -1.534E-01 -3.097E-02 -3.814E-01 2.012E-03 -1.576E-04 ,
57666,-3.457E-01 -2.257E-04 7.766E-02 -3.226E-01 -3.837E-03 -1.094E-02 ,
57665,-2.924E-02 -4.645E-01 -3.415E-02 6.643E-02 -1.455E-02 8.823E-03 ,
57664,-6.553E-01 3.675E-01 -6.952E-01 5.452E-01 -1.075E-01 -2.152E-01 ,
57663,8.399E-01 6.410E-01 5.923E-01 5.765E-01 4.738E-02 5.521E-02 ,
57662,1.409E-02 1.674E-02 -1.308E-02 -1.126E-02 -7.643E-04 -3.733E-03 ,
57661,-4.498E-01 4.046E-01 -9.709E-02 4.818E-01 -1.059E-02 -4.573E-02 ,
57660,4.090E-01 -1.496E-01 -3.625E-02 3.022E-01 1.192E-04 -1.451E-02 ,
57659,-2.030E-02 -1.433E-01 6.995E-03 -1.225E-01 -5.528E-03 -6.302E-03 ,
