 Element ID, Tensor(Element Stresses (2D & 3D)),
96,-6.628E+00 -4.442E+00 -9.287E+01 -2.854E-01 9.048E+00 -6.306E+00 ,
97,6.221E+00 5.413E+01 -3.924E-01 4.329E+00 8.753E+00 1.187E+01 ,
98,-6.086E+00 -2.087E+00 -1.019E+02 -3.164E+00 1.390E+01 3.848E+00 ,
99,1.532E+01 5.177E+01 2.012E+01 -6.701E+00 1.997E+01 -6.343E-01 ,
100,-1.253E+00 2.267E+01 5.628E+00 1.648E-01 1.573E+01 -8.164E-01 ,
101,-4.069E+01 -9.495E+01 -4.069E+01 -2.456E+01 1.883E+01 -6.267E-16 ,
102,-1.697E+01 -1.366E+02 -1.225E+01 -1.164E+01 1.612E+01 -2.501E-01 ,
103,7.926E-01 -1.030E+01 -9.498E-01 -2.701E+00 3.930E+00 1.387E-01 ,
104,-3.676E+01 -1.112E+01 -2.273E+02 7.864E+00 2.601E+01 7.295E+00 ,
105,4.556E+00 9.450E+01 -5.892E-02 3.263E+00 3.570E+00 6.693E-01 ,
106,-1.861E+01 -1.041E+02 -2.282E-01 -3.380E+00 6.234E+00 7.680E-01 ,
107,-1.961E+00 -9.277E+00 -2.236E+01 -2.852E-01 2.134E+01 -5.399E-01 ,
108,-6.817E-01 -3.893E+01 -2.611E+00 -3.254E+00 3.107E+00 -1.956E-01 ,
109,4.838E+00 1.002E+00 -4.919E+00 -9.234E-02 1.620E+00 -2.251E+00 ,
110,4.185E-01 -6.775E+01 2.557E+00 -2.440E+00 4.624E+00 1.061E+00 ,
111,1.417E+00 -1.944E+01 1.321E+00 -2.043E+00 4.010E+00 3.813E-01 ,
112,-1.789E-01 -7.925E+00 -1.476E+01 -1.923E-01 2.232E+01 -6.332E-01 ,
113,3.012E-01 3.173E+01 7.376E+00 4.348E-01 1.666E+01 -3.526E+00 ,
114,-2.638E+01 -9.765E+01 -9.204E+00 -2.662E+00 2.147E+01 -2.659E+00 ,
115,-1.020E+00 3.492E+01 3.619E+00 -2.968E-01 1.914E+01 -1.881E+00 ,
116,5.044E+00 -1.069E+01 7.688E-01 -1.493E+00 2.449E+00 7.164E-02 ,
117,-6.044E+01 -1.410E+02 -6.044E+01 -2.594E+01 3.377E+01 0.000E+00 ,
118,-2.908E+01 -1.199E+02 -9.392E+00 -6.410E+00 8.403E+00 2.294E+00 ,
119,2.006E+01 5.390E+01 2.034E+01 6.013E+00 1.926E+01 1.974E+00 ,
120,-1.963E+01 -1.012E+02 -3.479E-01 -1.640E+00 6.876E+00 -2.659E-01 ,
121,3.965E-01 -6.555E-01 -6.857E+01 2.101E+00 8.025E+00 5.052E+00 ,
122,3.289E-01 -4.070E+01 -6.329E-01 -8.931E-01 5.296E+00 -9.024E-01 ,
123,1.100E+00 4.956E+01 1.095E+01 -4.231E+00 1.905E+01 -1.213E+00 ,
124,-7.584E-01 -2.085E+01 -1.888E+00 -2.481E+00 3.661E+00 -7.465E-01 ,
