 Node ID, Tensor(Element Stresses (2D & 3D)),
169,-1.466E+00 1.039E-01 1.177E-01 3.821E-01 -1.256E-01 3.370E-02 ,
170,-1.215E+00 8.699E-02 1.044E-01 3.794E-01 -9.497E-02 3.636E-02 ,
171,-9.163E-01 -5.295E-02 8.472E-02 3.355E-01 -1.039E-01 5.554E-02 ,
172,-5.339E-01 -2.058E-02 1.040E-01 2.970E-01 -1.536E-01 1.346E-02 ,
173,-3.750E-01 -3.330E-02 1.168E-01 2.238E-01 -1.849E-01 -2.143E-02 ,
174,-4.479E-01 4.781E-01 1.522E-01 4.523E-01 -6.508E-01 1.783E-02 ,
175,-6.292E-01 -6.740E-02 1.174E-01 4.483E-01 -3.131E-01 -1.136E-01 ,
176,-9.404E-01 2.075E-01 9.254E-02 5.343E-01 -3.536E-01 -7.145E-03 ,
177,-5.605E-01 1.441E+00 9.485E-02 6.072E-01 -9.729E-01 -5.709E-02 ,
178,-5.921E-01 3.039E+00 1.172E-01 9.547E-01 -1.336E+00 -1.338E-02 ,
179,-5.504E-01 5.083E+00 8.891E-02 1.200E+00 -1.706E+00 -7.604E-03 ,
180,-2.971E-01 7.844E+00 2.204E-01 1.287E+00 -2.103E+00 9.832E-03 ,
181,-3.225E-01 1.041E+01 2.254E-01 1.534E+00 -2.316E+00 1.598E-02 ,
182,-3.724E-01 1.415E+01 2.146E-01 1.793E+00 -2.695E+00 4.953E-02 ,
183,-3.649E-01 1.800E+01 2.925E-01 1.980E+00 -2.719E+00 -4.799E-02 ,
184,-1.330E-01 2.199E+01 5.149E-01 2.059E+00 -3.274E+00 -1.972E-01 ,
185,3.976E-01 2.805E+01 8.306E-01 2.225E+00 -3.914E+00 -4.647E-01 ,
186,6.106E-01 3.437E+01 5.339E-01 1.677E+00 -4.635E+00 -1.968E-01 ,
187,2.582E+00 4.283E+01 1.883E+00 2.037E+00 -5.097E+00 3.812E-01 ,
188,3.287E+00 4.916E+01 3.403E+00 1.378E+00 -7.217E+00 8.457E-02 ,
189,4.855E+00 6.161E+01 4.139E+00 7.292E-01 -9.298E+00 -9.974E-01 ,
190,-8.009E-01 8.685E-01 1.344E-01 7.080E-01 -7.120E-01 -8.156E-02 ,
191,1.048E+01 7.870E+01 7.807E+00 -3.081E+00 -1.409E+01 -1.882E+00 ,
192,-7.521E-01 2.148E+00 1.652E-01 9.251E-01 -1.020E+00 -4.053E-03 ,
193,-6.857E-01 3.935E+00 2.184E-01 1.128E+00 -1.280E+00 2.562E-02 ,
