 Element ID, Tensor(Element Stresses (2D & 3D)),
107,-9.604E-01 1.900E+00 3.145E+00 -3.197E+00 -3.573E-01 2.838E+00 ,
108,-1.334E+00 -7.381E-01 -6.868E-01 2.367E-01 1.640E+00 2.143E+00 ,
109,-2.577E+01 -6.676E+00 -6.163E+00 -2.596E+00 -2.520E-01 -1.286E+00 ,
110,-1.081E+01 -3.884E+00 7.144E-01 -2.446E+00 1.961E+00 1.814E+00 ,
111,1.962E+01 7.637E+00 6.292E+01 -3.662E+00 6.445E+00 -1.138E+01 ,
112,2.032E+01 8.684E+00 3.423E+00 -1.407E+00 3.604E-02 1.527E+00 ,
113,-1.089E+00 2.296E-01 1.037E+00 -3.593E-02 1.293E+00 2.201E+00 ,
114,-3.615E+00 -4.298E+00 2.499E+00 -1.027E+00 -1.197E+00 1.125E+01 ,
115,-3.233E+00 -2.265E+00 -2.876E+00 -3.845E+00 -7.532E-01 2.808E+00 ,
116,4.130E+00 3.221E-01 -2.424E+00 -4.189E+00 8.777E-01 -3.169E+00 ,
117,6.563E-01 -2.487E+00 -2.983E+00 -3.863E-01 -1.460E+00 5.331E+00 ,
118,8.633E+00 7.047E-01 -1.949E+00 -2.817E+00 2.354E+00 -1.652E+00 ,
119,-1.813E+01 -1.210E+01 -1.254E+01 -4.867E-02 -7.153E+00 1.470E+01 ,
120,-2.187E-01 7.444E-01 -1.217E-01 -3.872E-01 1.788E-01 3.200E-02 ,
121,-2.131E+01 -1.138E+01 -4.010E+00 -3.317E+00 1.957E+00 2.380E+00 ,
122,-7.183E+00 -8.313E+00 9.742E+00 3.219E-01 -1.961E+00 -6.639E-01 ,
123,-4.159E-01 -8.078E-01 -2.174E+00 1.498E+00 7.928E-01 7.186E+00 ,
124,-8.304E+00 -2.447E-01 8.593E-01 1.024E+00 -1.584E-02 9.228E+00 ,
125,-7.480E+00 5.910E-01 3.981E-02 1.089E+00 -5.144E-01 6.368E-01 ,
126,-1.312E+01 -4.187E+00 -4.122E+00 -8.374E-01 4.661E-01 2.130E+00 ,
127,-1.908E-01 7.771E-01 1.879E-01 1.622E-01 4.316E-02 -2.184E-01 ,
128,-6.792E+00 4.162E-02 -3.346E+00 -4.718E+00 4.281E+00 1.629E+00 ,
129,3.318E+00 6.180E+00 7.566E+00 1.040E+00 -1.092E+00 -3.526E+00 ,
130,-6.982E+00 -1.170E+00 -1.435E+00 -3.466E+00 1.180E+00 3.069E+00 ,
131,6.216E-01 1.194E-01 2.949E-02 -2.555E-01 2.901E-01 -4.086E-01 ,
132,1.980E-02 1.034E+00 3.933E-01 3.416E-01 1.705E-01 -2.353E-01 ,
133,-2.165E+00 -2.068E-01 -3.993E-01 -1.129E+00 5.094E-01 9.676E-01 ,
134,1.657E+01 1.596E+00 2.693E+01 3.244E-01 4.641E+00 7.360E+00 ,
135,-1.731E+01 -5.011E+00 -4.727E+00 -8.303E-01 1.860E-01 1.169E+00 ,
136,5.445E-01 1.123E+00 6.687E-01 -1.726E+00 2.079E-01 1.351E-01 ,
137,1.032E+01 4.293E+00 4.936E-01 4.001E+00 1.670E-01 3.043E+00 ,
138,-1.263E+01 -4.760E+00 -2.457E+00 -1.151E+00 5.601E-01 1.825E+00 ,
139,-3.023E+00 2.008E+00 3.780E+00 -9.908E-01 1.003E+00 1.434E+00 ,
140,-8.161E+00 7.927E-01 1.898E+00 -2.326E+00 4.971E-01 2.265E+00 ,
141,-1.060E+01 -1.458E+00 -8.541E-01 -8.802E-01 8.277E-01 1.594E+00 ,
142,1.493E+00 1.596E+00 1.245E+01 -1.412E+00 -2.538E+00 1.245E+00 ,
143,7.151E+00 2.400E+01 1.212E+01 -6.180E-01 -1.808E+01 5.626E-01 ,
144,3.194E+00 -7.817E-02 -1.073E+00 -1.101E-01 6.209E-01 1.329E+00 ,
145,-1.099E+01 -1.401E+00 -9.450E-01 -5.535E-01 9.517E-01 1.314E+00 ,
146,-1.039E+01 -7.540E-01 -3.527E-01 2.632E-01 -2.428E-01 9.640E-01 ,
147,-9.820E+00 6.223E-01 7.877E-01 -8.382E-02 8.020E-02 9.096E-01 ,
148,1.246E+00 -1.577E+01 -1.629E+01 3.017E+00 1.130E+00 1.122E+01 ,
149,3.053E+00 -2.442E-01 7.724E-01 -2.014E+00 6.970E-02 2.932E+00 ,
150,5.421E-01 4.737E-01 2.751E+01 3.928E-01 -1.323E+00 2.727E-01 ,
151,5.156E-01 1.968E+00 1.822E+00 1.778E+00 -4.416E-01 2.116E-01 ,
152,1.139E+01 1.972E+00 4.679E+00 -4.400E+00 7.519E-01 4.436E+00 ,
153,9.382E+00 3.471E+00 2.281E+01 -2.174E-01 -1.377E+00 2.753E+00 ,
154,2.252E-01 2.334E-01 4.850E-01 2.403E-01 -9.219E-01 7.066E-01 ,
155,8.289E-02 -3.474E-01 5.047E-01 -9.515E-01 1.337E+00 3.644E+00 ,
156,-9.473E+00 -2.105E+00 -3.793E+00 2.170E+00 -3.527E-01 3.049E-01 ,
