 Element ID, Tensor(Element Stresses (2D & 3D)),
13299,-3.053E-01 -2.430E-01 -2.420E-01 2.698E-01 -1.824E-01 -3.611E-02 ,
13298,-5.591E-01 1.211E-01 -2.927E-01 1.728E-01 1.063E-01 5.916E-02 ,
13297,1.682E+00 1.216E+00 1.623E+00 -9.529E-02 4.066E-01 3.239E-01 ,
13296,3.542E-01 3.984E-01 4.306E-01 -5.060E-01 -6.335E-01 1.901E-01 ,
13295,-9.287E-01 -5.405E-01 -8.202E-01 2.330E-01 -1.777E-01 -1.778E-01 ,
13294,-1.924E+00 -7.879E-03 -1.967E+00 -1.711E-01 8.168E-01 -1.322E-01 ,
13293,-9.600E-01 -2.371E-02 -4.261E-01 4.279E-02 2.600E-01 -1.820E-02 ,
13292,-1.207E+00 -4.249E-01 -9.924E-01 -1.892E-02 8.280E-02 2.670E-02 ,
13291,3.965E-01 1.382E+00 4.164E-01 -8.442E-02 1.882E-01 6.152E-02 ,
13290,-1.669E-01 -1.745E-01 -2.502E-01 3.290E-02 1.240E-02 -5.121E-03 ,
13289,-2.448E-01 -2.327E-01 -6.302E-02 -3.509E-02 9.784E-02 -1.749E-03 ,
13288,1.613E+00 1.671E+00 2.056E+00 1.246E-01 -1.098E-01 -1.511E-01 ,
13287,4.508E-01 1.348E+00 8.617E-01 -1.125E-01 -6.253E-01 -2.708E-02 ,
13286,-8.242E-01 -7.889E-01 -6.584E-01 1.095E-02 1.308E-01 -5.637E-02 ,
13285,8.320E-01 1.632E-01 2.023E-01 -8.017E-02 -4.755E-02 -2.096E-02 ,
13284,6.428E-02 5.736E-02 -3.836E-02 2.972E-02 -5.782E-02 -1.318E-02 ,
13283,-3.042E-01 -2.044E-01 -3.220E-01 4.599E-03 -9.423E-02 -3.376E-02 ,
13282,-7.233E-01 -6.059E-01 -5.096E-01 5.728E-02 -9.982E-02 7.487E-02 ,
13281,4.694E-01 3.333E-01 1.031E-01 1.105E-01 2.256E-01 9.776E-03 ,
13280,3.386E-01 3.377E-01 -8.981E-03 1.975E-01 1.844E-01 3.561E-02 ,
13279,6.224E-01 6.615E-01 2.630E-01 2.499E-01 3.140E-01 -7.171E-03 ,
13278,6.827E-01 8.406E-01 3.881E-01 3.254E-01 3.411E-01 3.245E-02 ,
13277,5.652E-01 5.819E-01 2.173E-01 4.403E-02 1.989E-01 2.071E-04 ,
13276,7.322E-02 6.317E-02 -2.111E-01 1.240E-01 2.102E-01 1.716E-02 ,
13275,2.324E-01 2.814E-01 -5.964E-02 1.334E-01 2.359E-01 4.299E-02 ,
13274,4.192E-01 5.704E-01 4.263E-02 3.062E-01 3.472E-01 9.456E-02 ,
13273,5.928E-01 4.548E-01 2.292E-01 9.624E-02 2.107E-01 1.936E-02 ,
13272,2.321E-01 2.422E-01 -1.646E-01 4.146E-01 3.196E-01 6.283E-02 ,
13271,3.313E-01 9.219E-02 -1.252E-01 -9.276E-02 2.019E-01 -2.117E-02 ,
13270,-4.968E-01 -6.389E-01 -4.978E-01 -1.320E-01 7.977E-02 3.255E-02 ,
13269,-7.265E-01 -8.768E-01 -8.492E-01 8.679E-01 -5.675E-01 -1.218E-01 ,
13268,8.914E-02 3.270E-01 8.646E-02 2.734E-01 -1.817E-01 8.865E-03 ,
13267,5.624E-02 1.863E-01 1.760E-02 -9.142E-01 -5.537E-01 2.076E-01 ,
13266,3.773E-01 2.282E-01 3.054E-01 -2.875E-02 4.406E-02 -2.745E-02 ,
13265,2.748E-01 2.033E-01 1.769E-01 -1.479E-01 6.050E-02 -4.925E-02 ,
13264,7.270E-01 4.404E-01 4.618E-01 -1.800E-01 2.843E-02 -8.550E-02 ,
13263,7.933E-02 7.450E-02 2.308E-02 -5.019E-02 4.999E-02 -7.679E-02 ,
13262,2.712E-02 6.026E-01 1.151E-01 1.976E-01 -5.021E-02 3.257E-03 ,
13261,-2.634E-01 -1.838E-01 -3.327E-01 -5.168E-02 5.690E-02 1.144E-01 ,
13260,4.101E-01 5.551E-01 3.576E-01 -3.518E-01 9.271E-02 -5.037E-02 ,
13259,1.502E-01 4.844E-01 5.415E-02 6.224E-02 -1.080E-01 -4.167E-02 ,
13258,-2.751E-01 -2.673E-01 -2.493E-01 4.528E-01 -1.786E-01 -1.837E-01 ,
13257,2.191E-01 4.695E-01 5.666E-02 -5.473E-02 -1.715E-01 3.532E-02 ,
13256,-1.015E-02 1.999E-02 3.206E-02 3.576E-02 2.716E-02 5.446E-03 ,
13255,-1.195E-01 1.245E+00 5.348E-02 -1.514E-02 6.030E-01 2.547E-02 ,
13254,5.735E-01 -1.579E-01 4.102E-02 -6.961E-01 -1.402E-01 -1.709E-01 ,
13253,-4.089E-02 1.732E-01 8.012E-02 8.297E-01 7.753E-02 2.773E-01 ,
13252,-1.312E-01 -6.862E-02 -2.984E-01 -5.156E-02 5.430E-02 -4.113E-02 ,
13251,2.633E-01 5.478E-01 7.986E-02 1.625E-04 -5.488E-02 -1.488E-03 ,
13250,3.019E-01 8.844E-01 2.036E-01 1.615E-01 -6.496E-02 2.899E-04 ,
13249,2.247E-01 1.389E-01 8.390E-02 -8.667E-02 -4.510E-02 9.212E-03 ,
13248,-1.646E-01 -1.557E-01 -4.067E-01 -1.985E-02 -1.342E-01 8.008E-03 ,
13247,3.269E-01 3.970E-01 2.568E-01 2.310E-01 -3.124E-01 -1.618E-02 ,
13246,-1.151E-01 7.726E-02 -2.821E-01 3.950E-01 4.723E-02 -2.147E-02 ,
13245,1.996E-01 1.010E-01 -3.169E-02 1.197E-02 1.256E-02 -7.678E-03 ,
13244,2.999E-01 1.014E+00 4.455E-01 2.146E-02 -3.109E-04 -5.027E-03 ,
13243,7.533E-01 7.344E-01 8.857E-01 2.675E-02 5.914E-02 -7.166E-02 ,
13242,1.168E-01 1.533E-01 -7.450E-02 -5.527E-02 -4.664E-02 7.814E-02 ,
13241,6.639E-02 -3.681E-02 -9.216E-02 3.759E-03 -6.335E-02 7.869E-02 ,
13240,-9.769E-01 -6.622E-02 -4.920E-01 2.080E-02 3.671E-01 4.064E-02 ,
