 Element ID, Tensor(Element Stresses (2D & 3D)),
99,-2.123E-01 3.306E-02 8.179E-01 4.812E-02 3.730E-02 8.761E-02 ,
100,1.174E-01 7.831E-02 1.542E+00 3.065E-03 1.367E-02 -8.778E-02 ,
101,2.944E-02 9.822E-03 1.628E+00 2.121E-02 1.797E-02 -1.003E-01 ,
102,2.254E-02 7.712E-03 5.295E-03 -1.323E-04 -1.541E-03 -2.135E-03 ,
103,4.867E-02 2.494E-02 1.532E-01 4.050E-03 5.872E-03 1.918E-01 ,
104,1.894E-02 5.143E-04 9.037E-02 5.005E-04 -4.650E-03 1.563E-01 ,
105,-1.384E-01 2.033E-02 4.529E-02 -6.983E-02 2.766E-02 9.864E-02 ,
106,-1.575E-02 -2.776E-02 -4.567E-02 4.011E-04 2.108E-03 1.223E-02 ,
107,-4.087E-01 -2.978E-01 -3.283E-01 3.196E-02 -2.153E-02 1.454E-01 ,
108,-1.666E-03 2.509E-02 -3.106E-01 -6.096E-02 1.447E-01 1.199E-01 ,
109,5.851E-03 5.451E-03 7.683E-03 -1.079E-03 5.611E-05 2.505E-03 ,
110,-1.300E-02 -3.184E-03 7.218E-04 -6.485E-04 1.387E-04 -1.461E-03 ,
111,-9.360E-03 -1.426E-03 -2.532E-04 6.217E-04 -9.257E-04 1.278E-03 ,
112,2.492E-02 6.630E-03 2.252E-02 -5.574E-04 7.649E-04 -2.573E-02 ,
113,-1.532E-03 2.762E-04 3.282E-03 -4.487E-04 1.376E-03 -1.031E-03 ,
114,-1.436E-02 -9.128E-03 -7.383E-03 4.831E-04 -3.182E-04 5.574E-03 ,
115,-4.201E-04 -4.000E-02 -7.749E-02 -5.344E-03 -7.619E-03 -1.578E-02 ,
116,-5.338E-04 -3.941E-04 7.824E-04 -2.928E-05 -8.288E-05 -3.151E-04 ,
117,-1.386E-02 6.566E-03 -2.466E-02 -1.271E-03 -2.708E-04 -2.675E-02 ,
118,3.726E-02 -2.824E-03 -2.440E-02 -6.221E-04 -6.392E-03 -1.239E-02 ,
119,-2.102E-02 -3.612E-03 -4.790E-03 8.887E-04 -8.399E-04 -5.117E-03 ,
120,4.888E-01 3.254E-01 -2.241E+00 -7.005E-03 4.218E-02 -8.539E-02 ,
121,9.290E-02 4.640E-02 3.167E-02 -2.769E-03 -8.430E-03 -3.348E-02 ,
122,-2.019E-02 -6.683E-03 6.488E-04 2.312E-03 -7.356E-04 3.703E-03 ,
123,3.266E-03 1.808E-03 1.377E-03 6.337E-05 -8.971E-04 8.741E-05 ,
124,-1.241E-01 -1.552E-01 9.613E-01 -5.768E-03 1.092E-02 -6.779E-02 ,
